                source_show                 |                similar_show                |       score        
--------------------------------------------+--------------------------------------------+--------------------
 13 Reasons Why                             | Insatiable                                 | 0.7020027976245434
 13 Reasons Why                             | Pretty Little Liars                        | 0.6926252869514378
 13 Reasons Why                             | The Act                                    | 0.6809827894885576
 13 Reasons Why                             | Euphoria                                   | 0.6794557017412376
 13 Reasons Why                             | How to Get Away with Murder                | 0.6746780107554649
 9-1-1                                      | Chicago Fire                               | 0.7877320945127212
 9-1-1                                      | NCIS                                       | 0.7682529310628357
 9-1-1                                      | Chicago P.D.                               | 0.7636580046221242
 9-1-1                                      | The Rookie                                 | 0.7309606949315186
 9-1-1                                      | Brooklyn Nine-Nine                         | 0.7211819416750235
 Adventure Time                             | Once Upon a Time                           | 0.6533166841841636
 Adventure Time                             | Fringe                                     |  0.638245219651227
 Adventure Time                             | Futurama                                   | 0.6266022170628154
 Adventure Time                             | The Magicians                              | 0.6247987838583722
 Adventure Time                             | Ben 10                                     |  0.622533383434015
 Altered Carbon                             | The Purge                                  | 0.6968148767028555
 Altered Carbon                             | Person of Interest                         | 0.6952073462883142
 Altered Carbon                             | The Expanse                                | 0.6799310829121049
 Altered Carbon                             | Heroes                                     | 0.6652186373639314
 Altered Carbon                             | How to Get Away with Murder                |  0.662852233511446
 American Dad!                              | The Fresh Prince of Bel-Air                | 0.7071846938206726
 American Dad!                              | Modern Family                              | 0.7067660932866304
 American Dad!                              | Two and a Half Men                         | 0.6877172517983001
 American Dad!                              | Seinfeld                                   | 0.6755568669510432
 American Dad!                              | Shameless                                  | 0.6734721115189675
 American Gods                              | Moon Knight                                | 0.6933770331910081
 American Gods                              | The Wheel of Time                          | 0.6896673650077698
 American Gods                              | Supernatural                               |  0.676391732447853
 American Gods                              | The Purge                                  | 0.6750364030690111
 American Gods                              | Titans                                     | 0.6746802601472335
 American Horror Story                      | Westworld                                  | 0.7247436594767815
 American Horror Story                      | Chucky                                     | 0.7074959147666415
 American Horror Story                      | The Haunting of Hill House                 | 0.7046776044486132
 American Horror Story                      | Stranger Things                            | 0.7015563050119454
 American Horror Story                      | Fargo                                      | 0.6997614994189179
 Anne with an E                             | Euphoria                                   | 0.6646586393596792
 Anne with an E                             | Sex Education                              | 0.6496389753715078
 Anne with an E                             | Shameless                                  | 0.6434397269625473
 Anne with an E                             | Wednesday                                  | 0.6388870623309494
 Anne with an E                             | Once Upon a Time                           | 0.6378062601267285
 Arcane                                     | Invincible                                 | 0.6462710555589696
 Arcane                                     | Riverdale                                  | 0.6430926325206507
 Arcane                                     | WandaVision                                | 0.6382143116604011
 Arcane                                     | Dexter                                     | 0.6166516109841654
 Arcane                                     | Supergirl                                  | 0.6086128959262496
 Arrow                                      | The Flash                                  | 0.6758454385080439
 Arrow                                      | Titans                                     | 0.6720290768498227
 Arrow                                      | Marvel's Luke Cage                         | 0.6677547713568222
 Arrow                                      | Gotham                                     | 0.6660323735725453
 Arrow                                      | Marvel's Iron Fist                         | 0.6637792470752579
 Ash vs Evil Dead                           | Fear the Walking Dead                      | 0.6659347552754191
 Ash vs Evil Dead                           | American Gods                              | 0.6611455504118333
 Ash vs Evil Dead                           | American Horror Story                      | 0.6560934769162099
 Ash vs Evil Dead                           | Grimm                                      | 0.6479438283016337
 Ash vs Evil Dead                           | Charmed                                    | 0.6473160692984306
 Avatar: The Last Airbender                 | The Legend of Korra                        | 0.7415330857271573
 Avatar: The Last Airbender                 | The Wheel of Time                          | 0.6250106408004685
 Avatar: The Last Airbender                 | Ben 10                                     |  0.613226521152092
 Avatar: The Last Airbender                 | The 100                                    | 0.6043731298640354
 Avatar: The Last Airbender                 | Star Wars: The Clone Wars                  | 0.6038486180662989
 Band of Brothers                           | 9-1-1                                      | 0.6262115322542813
 Band of Brothers                           | The Pacific                                | 0.6253315895418678
 Band of Brothers                           | Chicago Fire                               | 0.6192609189031535
 Band of Brothers                           | NCIS                                       | 0.6100835854058841
 Band of Brothers                           | Marvel's The Punisher                      | 0.6057139458921327
 Bates Motel                                | Ozark                                      | 0.6899813003082214
 Bates Motel                                | American Horror Story                      | 0.6656837066600511
 Bates Motel                                | Gotham                                     | 0.6558734846385637
