                source_show                 |                similar_show                |       score        
--------------------------------------------+--------------------------------------------+--------------------
 13 Reasons Why                             | Pretty Little Liars                        | 0.6946580005578094
 13 Reasons Why                             | The Act                                    | 0.6887917614757957
 13 Reasons Why                             | Euphoria                                   |   0.68686571615409
 13 Reasons Why                             | Orange Is the New Black                    | 0.6702572757064917
 13 Reasons Why                             | The End of the F***ing World               | 0.6667849745127781
 9-1-1                                      | Chicago P.D.                               | 0.7628349383852341
 9-1-1                                      | Brooklyn Nine-Nine                         | 0.7214793017576842
 9-1-1                                      | Fear the Walking Dead                      | 0.7206882995334527
 9-1-1                                      | Grey's Anatomy                             | 0.7175749086432935
 9-1-1                                      | The Purge                                  | 0.7100990634139143
 Adventure Time                             | Fringe                                     | 0.6429288559070325
 Adventure Time                             | Futurama                                   | 0.6342331906623111
 Adventure Time                             | The End of the F***ing World               | 0.6291422539454742
 Adventure Time                             | The 100                                    | 0.6260980454756155
 Adventure Time                             | The Last of Us                             | 0.6242245738282977
 American Horror Story                      | Westworld                                  | 0.7254960463575612
 American Horror Story                      | Chucky                                     | 0.7116959656204808
 American Horror Story                      | Fargo                                      | 0.7045684712290643
 American Horror Story                      | Stranger Things                            | 0.7042354854223961
 American Horror Story                      | The Purge                                  | 0.7014454947268629
 Anne with an E                             | Euphoria                                   | 0.6652332553621171
 Anne with an E                             | Sex Education                              |   0.65176253348218
 Anne with an E                             | Shameless                                  | 0.6451159111739051
 Anne with an E                             | Wednesday                                  | 0.6416178609814032
 Anne with an E                             | Orange Is the New Black                    | 0.6385411174697174
 Arcane                                     | Invincible                                 | 0.6668287546959777
 Arcane                                     | WandaVision                                | 0.6584359029740245
 Arcane                                     | Dexter                                     | 0.6377249761956523
 Arcane                                     | Riverdale                                  |  0.635037415182065
 Arcane                                     | Supergirl                                  | 0.6293311043920391
 Arrow                                      | Titans                                     | 0.6843618958012418
 Arrow                                      | The Flash                                  | 0.6839444957829977
 Arrow                                      | Gotham                                     | 0.6780238335340691
 Arrow                                      | Marvel's Iron Fist                         | 0.6729631511247391
 Arrow                                      | Game of Thrones                            | 0.6690000476785629
 Avatar: The Last Airbender                 | The 100                                    | 0.6132105907433691
 Avatar: The Last Airbender                 | The Last of Us                             | 0.6067433550866644
 Avatar: The Last Airbender                 | DC's Legends of Tomorrow                   | 0.6062655532376676
 Avatar: The Last Airbender                 | Supernatural                               | 0.6033002104016323
 Avatar: The Last Airbender                 | The Mandalorian                            | 0.6022143509912117
 Band of Brothers                           | The Pacific                                | 0.6427615360864626
 Band of Brothers                           | 9-1-1                                      | 0.6349262751047458
 Band of Brothers                           | Marvel's The Punisher                      | 0.6141072790670088
 Band of Brothers                           | Chicago P.D.                               | 0.6074226606781534
 Band of Brothers                           | The Purge                                  | 0.6009920996966241
 Better Call Saul                           | Gotham                                     | 0.6644997595956055
 Better Call Saul                           | Breaking Bad                               | 0.6627095260409004
 Better Call Saul                           | Marvel's Daredevil                         | 0.6521377765530475
 Better Call Saul                           | Hannibal                                   | 0.6448774839032891
 Better Call Saul                           | Prison Break                               | 0.6410176001470453
 Black Mirror                               | Love, Death & Robots                       |  0.749548328210824
 Black Mirror                               | American Horror Story                      | 0.6812779066907748
 Black Mirror                               | The Purge                                  | 0.6735167841730981
 Black Mirror                               | Fringe                                     | 0.6721074455136147
 Black Mirror                               | Westworld                                  | 0.6709210389726235
 Blindspot                                  | The Blacklist                              | 0.6959926211657741
 Blindspot                                  | Bones                                      | 0.6834116852603271
 Blindspot                                  | You                                        | 0.6673683803147028
 Blindspot                                  | The X-Files                                | 0.6584144934184116
 Blindspot                                  | Chicago P.D.                               | 0.6542159968368955
 BoJack Horseman                            | Two and a Half Men                         |  0.682699705343103
 BoJack Horseman                            | Orange Is the New Black                    | 0.6721357201893429
 BoJack Horseman                            | You                                        | 0.6680375580832693
 BoJack Horseman                            | Gotham                                     | 0.6644543239241852
 BoJack Horseman                            | House of Cards                             |  0.658141799179404
 Bones                                      | Mindhunter                                 | 0.7305591406773599
 Bones                                      | Chicago P.D.                               | 0.7232894676486077
 Bones                                      | The X-Files                                | 0.7217797504744332
 Bones                                      | The Blacklist                              |  0.711883657462428
 Bones                                      | Fringe                                     | 0.7095080277095814
