                source_show                 |                similar_show                |       score        
--------------------------------------------+--------------------------------------------+--------------------
 13 Reasons Why                             | Pretty Little Liars                        | 0.6202213266049962
 13 Reasons Why                             | The Act                                    | 0.6036159859008435
 13 Reasons Why                             | Euphoria                                   | 0.5967005136708042
 13 Reasons Why                             | Orange Is the New Black                    | 0.5946677030054501
 13 Reasons Why                             | You                                        | 0.5918821880020797
 9-1-1                                      | Chicago P.D.                               | 0.6566596194139456
 9-1-1                                      | Brooklyn Nine-Nine                         | 0.6334438301678318
 9-1-1                                      | Grey's Anatomy                             | 0.6212347519271209
 9-1-1                                      | Law & Order: Special Victims Unit          | 0.6187236020114215
 9-1-1                                      | Fear the Walking Dead                      | 0.6185460164643464
 Adventure Time                             | Fringe                                     | 0.5628298314634659
 Adventure Time                             | The End of the F***ing World               | 0.5613002145680569
 Adventure Time                             | Futurama                                   | 0.5561723405759065
 Adventure Time                             | Stranger Things                            | 0.5501245602397393
 Adventure Time                             | SpongeBob SquarePants                      | 0.5468450909594353
 American Horror Story                      | Westworld                                  | 0.6277201437022333
 American Horror Story                      | Chucky                                     |  0.623543418691855
 American Horror Story                      | True Detective                             | 0.6211724855321876
 American Horror Story                      | It                                         | 0.6168842880546823
 American Horror Story                      | Stranger Things                            | 0.6127510653077479
 Anne with an E                             | Euphoria                                   | 0.5753857965863671
 Anne with an E                             | The Umbrella Academy                       | 0.5631535960541171
 Anne with an E                             | Sex Education                              | 0.5556995666287757
 Anne with an E                             | Orange Is the New Black                    | 0.5510624178725612
 Anne with an E                             | Shameless                                  | 0.5494470480787053
 Arcane                                     | Riverdale                                  | 0.5885499905468146
 Arcane                                     | Invincible                                 |  0.563996715288049
 Arcane                                     | Stranger Things                            |  0.548469223161774
 Arcane                                     | WandaVision                                | 0.5464234789686915
 Arcane                                     | Siren                                      | 0.5349921975427071
 Arrow                                      | The Flash                                  | 0.5915384661030104
 Arrow                                      | Game of Thrones                            | 0.5899803225658615
 Arrow                                      | Gotham                                     | 0.5839508312443926
 Arrow                                      | Titans                                     | 0.5827987451557061
 Arrow                                      | Scorpion                                   | 0.5818166562086174
 Avatar: The Last Airbender                 | The Last of Us                             | 0.5560806862386067
 Avatar: The Last Airbender                 | The Umbrella Academy                       | 0.5443564796882462
 Avatar: The Last Airbender                 | DC's Legends of Tomorrow                   | 0.5427170493435598
 Avatar: The Last Airbender                 | The 100                                    | 0.5405685442770471
 Avatar: The Last Airbender                 | The Mandalorian                            | 0.5370258670378227
 Band of Brothers                           | The Pacific                                | 0.5980359265091462
 Band of Brothers                           | 9-1-1                                      |  0.562265602408348
 Band of Brothers                           | Sons of Anarchy                            | 0.5374358449990881
 Band of Brothers                           | The Boys                                   | 0.5341192553453841
 Band of Brothers                           | Prison Break                               | 0.5335819737277332
 Better Call Saul                           | Gotham                                     | 0.5832275377177718
 Better Call Saul                           | Breaking Bad                               | 0.5782940408518097
 Better Call Saul                           | Marvel's Daredevil                         | 0.5781818723319714
 Better Call Saul                           | Criminal Minds                             | 0.5695170814123133
 Better Call Saul                           | Smallville                                 |  0.564255422690255
 Black Mirror                               | Love, Death & Robots                       | 0.6208300152748804
 Black Mirror                               | American Horror Story                      | 0.6090115980882408
 Black Mirror                               | The Purge                                  | 0.5961947370688824
 Black Mirror                               | Fringe                                     | 0.5950005644046296
 Black Mirror                               | Westworld                                  | 0.5948252523637589
 Blindspot                                  | The Blacklist                              | 0.5937023976003302
 Blindspot                                  | Bones                                      | 0.5930948523312377
 Blindspot                                  | You                                        |  0.579518369331042
 Blindspot                                  | Mindhunter                                 |   0.57643160086624
 Blindspot                                  | Fringe                                     | 0.5727391751425843
 BoJack Horseman                            | Two and a Half Men                         | 0.6012654622227449
 BoJack Horseman                            | Orange Is the New Black                    | 0.5994158475225335
 BoJack Horseman                            | Gotham                                     | 0.5913679655574399
 BoJack Horseman                            | You                                        | 0.5900421190336846
 BoJack Horseman                            | House of Cards                             | 0.5842552375945762
 Bones                                      | The X-Files                                |  0.637681596878767
 Bones                                      | Mindhunter                                 | 0.6365602016435158
 Bones                                      | Fringe                                     |  0.631888605594569
 Bones                                      | Criminal Minds                             | 0.6213083968151295
 Bones                                      | The Blacklist                              | 0.6107861176922937
 Breaking Bad                               | Better Call Saul                           | 0.5782940408518097
 Breaking Bad                               | Hannibal                                   | 0.5763060292116389
 Breaking Bad                               | Gotham                                     | 0.5710409514514643
 Breaking Bad                               | Teen Wolf                                  | 0.5703285604816978
 Breaking Bad                               | The Walking Dead                           | 0.5703089045370561
 Brooklyn Nine-Nine                         | 9-1-1                                      | 0.6334438301678318
 Brooklyn Nine-Nine                         | Chicago P.D.                               | 0.6093726408563406
 Brooklyn Nine-Nine                         | Law & Order: Special Victims Unit          | 0.5926140929715776
 Brooklyn Nine-Nine                         | Orange Is the New Black                    | 0.5883986455479879
 Brooklyn Nine-Nine                         | Grimm                                      |  0.584474212407543
 Chernobyl                                  | 13 Reasons Why                             | 0.5506342835444135
 Chernobyl                                  | The 100                                    | 0.5485979811636762
 Chernobyl                                  | Black Mirror                               | 0.5450339144427931
 Chernobyl                                  | Stranger Things                            | 0.5429394820318528
 Chernobyl                                  | Westworld                                  | 0.5427748117930894
 Chicago P.D.                               | Law & Order: Special Victims Unit          | 0.6567245561664231
 Chicago P.D.                               | 9-1-1                                      | 0.6566596194139456
 Chicago P.D.                               | The Purge                                  | 0.6291193588182261
