                source_show                 |                similar_show                |       score        
--------------------------------------------+--------------------------------------------+--------------------
 13 Reasons Why                             | Pretty Little Liars                        | 0.6935371374054069
 13 Reasons Why                             | The Act                                    | 0.6863123334232646
 13 Reasons Why                             | Euphoria                                   | 0.6805899881276082
 13 Reasons Why                             | Orange Is the New Black                    | 0.6682843115309085
 13 Reasons Why                             | You                                        | 0.6624398401467442
 9-1-1                                      | Chicago P.D.                               | 0.7424814180949368
 9-1-1                                      | Brooklyn Nine-Nine                         | 0.7114281504869275
 9-1-1                                      | Fear the Walking Dead                      | 0.7059288872751642
 9-1-1                                      | Grey's Anatomy                             | 0.7050252586283087
 9-1-1                                      | Law & Order: Special Victims Unit          | 0.6881812927561626
 Adventure Time                             | Fringe                                     | 0.6375077770960057
 Adventure Time                             | The End of the F***ing World               | 0.6333646188721487
 Adventure Time                             | Futurama                                   | 0.6326497298399325
 Adventure Time                             | Stranger Things                            | 0.6250758308082524
 Adventure Time                             | SpongeBob SquarePants                      | 0.6190698320680803
 American Horror Story                      | Westworld                                  | 0.7098292098573933
 American Horror Story                      | Chucky                                     | 0.7050027901854146
 American Horror Story                      | True Detective                             | 0.6992123126812904
 American Horror Story                      | Fargo                                      | 0.6944240082118185
 American Horror Story                      | Stranger Things                            |  0.693295800912165
 Anne with an E                             | Euphoria                                   | 0.6506215344576097
 Anne with an E                             | Sex Education                              | 0.6338349126770052
 Anne with an E                             | The Umbrella Academy                       | 0.6332548642581178
 Anne with an E                             | Orange Is the New Black                    | 0.6307703693562041
 Anne with an E                             | Shameless                                  | 0.6265450823018137
 Arcane                                     | Invincible                                 | 0.6647047251400311
 Arcane                                     | WandaVision                                | 0.6494265849700247
 Arcane                                     | Riverdale                                  | 0.6377295689698165
 Arcane                                     | Dexter                                     | 0.6251743859853729
 Arcane                                     | Supergirl                                  | 0.6097423243143747
 Arrow                                      | The Flash                                  | 0.6767359598296749
 Arrow                                      | Titans                                     | 0.6756263844470194
 Arrow                                      | Gotham                                     | 0.6734036489702659
 Arrow                                      | Game of Thrones                            | 0.6716427210900929
 Arrow                                      | Marvel's Iron Fist                         |  0.665379010016846
 Avatar: The Last Airbender                 | The Last of Us                             | 0.6233826564555092
 Avatar: The Last Airbender                 | DC's Legends of Tomorrow                   | 0.6163884934468932
 Avatar: The Last Airbender                 | The 100                                    | 0.6150490364052925
 Avatar: The Last Airbender                 | The Umbrella Academy                       | 0.6109978974639242
 Avatar: The Last Airbender                 | The Mandalorian                            | 0.6091968411694404
 Band of Brothers                           | The Pacific                                | 0.6736996611969069
 Band of Brothers                           | 9-1-1                                      |  0.638040759914411
 Band of Brothers                           | Sons of Anarchy                            | 0.6040066084961716
 Band of Brothers                           | The Boys                                   | 0.6011105562737036
 Band of Brothers                           | Prison Break                               | 0.6001979275887943
 Better Call Saul                           | Gotham                                     | 0.6667356979584805
 Better Call Saul                           | Breaking Bad                               | 0.6633512087466793
 Better Call Saul                           | Marvel's Daredevil                         | 0.6607846739468566
 Better Call Saul                           | Criminal Minds                             | 0.6419414404412882
 Better Call Saul                           | Smallville                                 | 0.6383900610696653
 Black Mirror                               | Love, Death & Robots                       |  0.714056102121887
 Black Mirror                               | American Horror Story                      | 0.6830021080296309
 Black Mirror                               | Westworld                                  | 0.6706544873315825
 Black Mirror                               | Fringe                                     | 0.6688946809541416
 Black Mirror                               | The Purge                                  | 0.6683342147549519
 Blindspot                                  | The Blacklist                              | 0.6829450305968512
 Blindspot                                  | Bones                                      | 0.6750103963412097
 Blindspot                                  | You                                        | 0.6598435303935709
 Blindspot                                  | Fringe                                     | 0.6508412571774136
 Blindspot                                  | Marvel's Agents of S.H.I.E.L.D.            | 0.6502267718565546
 BoJack Horseman                            | Two and a Half Men                         | 0.6805116339017601
 BoJack Horseman                            | Orange Is the New Black                    | 0.6766888355974873
 BoJack Horseman                            | You                                        | 0.6676656372614679
 BoJack Horseman                            | Gotham                                     | 0.6663707021243551
 BoJack Horseman                            | House of Cards                             | 0.6582908917775779
 Bones                                      | Mindhunter                                 |  0.717830017830257
 Bones                                      | The X-Files                                | 0.7156606213240146
 Bones                                      | Fringe                                     | 0.7114980895068841
 Bones                                      | Chicago P.D.                               | 0.6996651246225347
 Bones                                      | The Blacklist                              | 0.6981721143454225
 Breaking Bad                               | Better Call Saul                           | 0.6633512087466793
 Breaking Bad                               | Hannibal                                   | 0.6561678859028318
 Breaking Bad                               | Gotham                                     | 0.6506338786584118
 Breaking Bad                               | Teen Wolf                                  | 0.6504467779726592
 Breaking Bad                               | You                                        | 0.6484001516494416
 Brooklyn Nine-Nine                         | 9-1-1                                      | 0.7114281504869275
 Brooklyn Nine-Nine                         | Chicago P.D.                               | 0.6905833849989804
 Brooklyn Nine-Nine                         | Orange Is the New Black                    | 0.6742794876515107
 Brooklyn Nine-Nine                         | Law & Order: Special Victims Unit          | 0.6642885994249197
 Brooklyn Nine-Nine                         | Bones                                      | 0.6627817943282904
 Chernobyl                                  | The 100                                    | 0.6246774673063034
 Chernobyl                                  | 13 Reasons Why                             |  0.615989441236187
 Chernobyl                                  | Stranger Things                            | 0.6121023914842024
 Chernobyl                                  | Black Mirror                               | 0.6086506326615129
 Chernobyl                                  | Westworld                                  | 0.6068231732057209
 Chicago P.D.                               | 9-1-1                                      | 0.7424814180949368
